"schedule_status","iata_airline","flight_number","service_type","period_from","period_to","days_of_operation","adep_iata","ades_iata","aircraft_type_iata","code_sharing","std_utc","sta_utc","flight.flight_date","adep_icao","ades_icao"
"P","AI","101","J","01AUG25","07AUG25","45","DEL","JFK","359"," ",2025-08-01 16:40:00,2025-08-01 18:40:00,2025-08-01 16:40:00,"VIDP","KJFK"
"P","AI","101","J","01AUG25","07AUG25","45","DEL","JFK","359"," ",2025-08-01 16:40:00,2025-08-01 18:40:00,2025-08-07 16:40:00,"VIDP","KJFK"
"P","AI","101","J","02AUG25","06AUG25","23  67","DEL","JFK","359"," ",2025-08-02 16:40:00,2025-08-02 18:40:00,2025-08-02 16:40:00,"VIDP","KJFK"
"P","AI","101","J","02AUG25","06AUG25","23  67","DEL","JFK","359"," ",2025-08-02 16:40:00,2025-08-02 18:40:00,2025-08-03 16:40:00,"VIDP","KJFK"
"P","AI","101","J","02AUG25","06AUG25","23  67","DEL","JFK","359"," ",2025-08-02 16:40:00,2025-08-02 18:40:00,2025-08-05 16:40:00,"VIDP","KJFK"
"P","AI","101","J","02AUG25","06AUG25","23  67","DEL","JFK","359"," ",2025-08-02 16:40:00,2025-08-02 18:40:00,2025-08-06 16:40:00,"VIDP","KJFK"
"P","AI","102","J","01AUG25","06AUG25","3 5","JFK","DEL","359"," ",2025-08-01 20:40:00,2025-08-01 02:55:00,2025-08-01 20:40:00,"KJFK","VIDP"
"P","AI","102","J","01AUG25","06AUG25","3 5","JFK","DEL","359"," ",2025-08-01 20:40:00,2025-08-01 02:55:00,2025-08-06 20:40:00,"KJFK","VIDP"
"P","AI","102","J","02AUG25","07AUG25","4 67","JFK","DEL","359"," ",2025-08-02 20:40:00,2025-08-02 02:55:00,2025-08-02 20:40:00,"KJFK","VIDP"
"P","AI","102","J","02AUG25","07AUG25","4 67","JFK","DEL","359"," ",2025-08-02 20:40:00,2025-08-02 02:55:00,2025-08-03 20:40:00,"KJFK","VIDP"
"P","AI","102","J","02AUG25","07AUG25","4 67","JFK","DEL","359"," ",2025-08-02 20:40:00,2025-08-02 02:55:00,2025-08-07 20:40:00,"KJFK","VIDP"
"P","AI","102","J","04AUG25","04AUG25","1","JFK","DEL","359"," ",2025-08-04 20:40:00,2025-08-04 02:55:00,2025-08-04 20:40:00,"KJFK","VIDP"
"P","AI","103","J","03AUG25","07AUG25","2 4  7","DEL","VIE","788"," ",2025-08-03 14:50:00,2025-08-03 02:50:00,2025-08-03 14:50:00,"VIDP","LOWW"
